web-scraper-order,web-scraper-start-url,Preis,plz,jahr,ps-stand,Farbe
"1669622809-1295","https://www.autolina.ch/elektro-auto","29'890","8554","2022","118","weiss"
"1669622809-1296","https://www.autolina.ch/elektro-auto","37'880","8408","2022","118","grau"
"1669622809-1297","https://www.autolina.ch/elektro-auto","64'315","9300","null","204","sonstiges"
"1669622809-1298","https://www.autolina.ch/elektro-auto","65'900","6330","null","299","sonstiges"
"1669622809-1299","https://www.autolina.ch/elektro-auto","61'900","6330","null","204","weiss"
"1669622809-1300","https://www.autolina.ch/elektro-auto","65'900","6330","null","204","sonstiges"
"1669622809-1301","https://www.autolina.ch/elektro-auto","56'270","8280","2022","204","sonstiges"
"1669622809-1302","https://www.autolina.ch/elektro-auto","76'640","3604","2022","299","weiss"
"1669622809-1303","https://www.autolina.ch/elektro-auto","80'500","8200","2022","204","sonstiges"
"1669622809-1304","https://www.autolina.ch/elektro-auto","59'900","8200","2022","204","weiss"
"1669622809-1305","https://www.autolina.ch/elektro-auto","67'000","3604","null","299","sonstiges"
"1669622809-1306","https://www.autolina.ch/elektro-auto","148'700","8304","null","476","grau"
"1669622809-1307","https://www.autolina.ch/elektro-auto","66'600","6064","2022","325","weiss"
"1669622809-1308","https://www.autolina.ch/elektro-auto","84'900","8280","2022","299","schwarz"
"1669622809-1309","https://www.autolina.ch/elektro-auto","34'680","3000","null","118","weiss"
"1669622809-1310","https://www.autolina.ch/elektro-auto","49'410","4132","null","136","blau"
"1669622809-1311","https://www.autolina.ch/elektro-auto","30'900","8808","null","150","grau"
"1669622809-1312","https://www.autolina.ch/elektro-auto","55'700","4053","2019","400","weiss"
"1669622809-1313","https://www.autolina.ch/elektro-auto","43'900","5610","2022","231","rot"
"1669622809-1314","https://www.autolina.ch/elektro-auto","56'800","8730","2017","388","blau"
"1669622809-1315","https://www.autolina.ch/elektro-auto","34'990","2710","null","119","schwarz"
"1669622809-1316","https://www.autolina.ch/elektro-auto","148'000","8706","2022","598","grau"
"1669622809-1317","https://www.autolina.ch/elektro-auto","110'300","9016","null","544","grau"
"1669622809-1318","https://www.autolina.ch/elektro-auto","62'990","9542","2022","300","silber"
"1669622809-1319","https://www.autolina.ch/elektro-auto","64'990","9542","2022","300","rot"
"1669622809-1320","https://www.autolina.ch/elektro-auto","25'500","8305","2018","170","schwarz"
"1669622809-1321","https://www.autolina.ch/elektro-auto","47'900","3604","2022","204","sonstiges"
"1669622809-1322","https://www.autolina.ch/elektro-auto","27'800","7000","2018","170","weiss"
"1669622809-1323","https://www.autolina.ch/elektro-auto","33'690","5502","2022","136","schwarz"
"1669622809-1324","https://www.autolina.ch/elektro-auto","107'800","8302","null","194","schwarz"
"1669622809-1325","https://www.autolina.ch/elektro-auto","60'800","6340","null","218","weiss"
"1669622809-1326","https://www.autolina.ch/elektro-auto","86'056","4450","2022","204","sonstiges"
"1669622809-1327","https://www.autolina.ch/elektro-auto","47'700","4528","2015","525","schwarz"
"1669622809-1328","https://www.autolina.ch/elektro-auto","62'670","9487","2022","204","weiss"
"1669622809-1329","https://www.autolina.ch/elektro-auto","84'800","9487","2022","204","sonstiges"
"1669622809-1330","https://www.autolina.ch/elektro-auto","41'720","8752","null","122","grau"
"1669622809-1331","https://www.autolina.ch/elektro-auto","42'200","8280","null","136","weiss"
"1669622809-1332","https://www.autolina.ch/elektro-auto","21'140","9001","null","45","schwarz"
"1669622809-1333","https://www.autolina.ch/elektro-auto","58'900","1630","2021","204","silber"
"1669622809-1334","https://www.autolina.ch/elektro-auto","62'500","6210","2021","371","weiss"
"1669622809-1335","https://www.autolina.ch/elektro-auto","28'490","8108","2019","170","schwarz"
"1669622809-1336","https://www.autolina.ch/elektro-auto","68'490","2800","2022","286","grau"
"1669622809-1337","https://www.autolina.ch/elektro-auto","102'900","4132","2022","544","blau"
"1669622809-1338","https://www.autolina.ch/elektro-auto","31'150","6512","null","82","weiss"
"1669622809-1339","https://www.autolina.ch/elektro-auto","63'780","1716","null","204","schwarz"
"1669622809-1340","https://www.autolina.ch/elektro-auto","59'990","1716","null","204","schwarz"
"1669622809-1341","https://www.autolina.ch/elektro-auto","72'250","1716","null","299","blau"
"1669622809-1342","https://www.autolina.ch/elektro-auto","71'270","1716","null","299","grün"
"1669622809-1343","https://www.autolina.ch/elektro-auto","80'800","6467","null","204","schwarz"
"1669622809-1344","https://www.autolina.ch/elektro-auto","79'800","6467","null","204","silber"
"1669622809-1345","https://www.autolina.ch/elektro-auto","60'150","6467","2022","204","weiss"
"1669622809-1346","https://www.autolina.ch/elektro-auto","39'900","1806","2022","136","grau"
"1669622809-1347","https://www.autolina.ch/elektro-auto","35'900","2802","2021","184","schwarz"
"1669622809-1348","https://www.autolina.ch/elektro-auto","75'250","1868","null","371","orange"
"1669622809-1349","https://www.autolina.ch/elektro-auto","40'900","9450","2022","136","weiss"
"1669622809-1350","https://www.autolina.ch/elektro-auto","56'620","1245","null","170","schwarz"
"1669622809-1351","https://www.autolina.ch/elektro-auto","42'900","3074","null","184","grün"
"1669622809-1352","https://www.autolina.ch/elektro-auto","32'900","8632","2021","136","grau"
"1669622809-1353","https://www.autolina.ch/elektro-auto","74'000","9015","null","371","schwarz"
"1669622809-1354","https://www.autolina.ch/elektro-auto","52'900","9015","2021","269","rot"
"1669622809-1355","https://www.autolina.ch/elektro-auto","63'700","4528","2022","204","sonstiges"
"1669622809-1356","https://www.autolina.ch/elektro-auto","51'490","3604","2022","231","sonstiges"
"1669622809-1357","https://www.autolina.ch/elektro-auto","46'900","3604","2022","204","sonstiges"
"1669622809-1358","https://www.autolina.ch/elektro-auto","66'600","8610","null","204","weiss"
"1669622809-1359","https://www.autolina.ch/elektro-auto","34'780","3203","null","136","weiss"
"1669622809-1360","https://www.autolina.ch/elektro-auto","42'929","8910","null","136","weiss"
"1669622809-1361","https://www.autolina.ch/elektro-auto","33'900","6932","2020","184","schwarz"
"1669622809-1362","https://www.autolina.ch/elektro-auto","49'500","3322","null","218","blau"
"1669622809-1363","https://www.autolina.ch/elektro-auto","20'040","3322","2021","45","silber"
"1669622809-1364","https://www.autolina.ch/elektro-auto","35'900","4710","null","136","weiss"
"1669622809-1365","https://www.autolina.ch/elektro-auto","136'000","8580","null","476","grau"
"1669622809-1366","https://www.autolina.ch/elektro-auto","98'200","8280","null","408","grau"
"1669622809-1367","https://www.autolina.ch/elektro-auto","29'600","8280","null","82","weiss"
"1669622809-1368","https://www.autolina.ch/elektro-auto","69'990","3018","null","371","blau"
"1669622809-1369","https://www.autolina.ch/elektro-auto","49'500","2555","2022","204","sonstiges"
"1669622809-1370","https://www.autolina.ch/elektro-auto","17'500","8320","2021","45","weiss"
"1669622809-1371","https://www.autolina.ch/elektro-auto","62'490","8610","null","204","weiss"
"1669622809-1372","https://www.autolina.ch/elektro-auto","41'540","6280","null","136","rot"
"1669622809-1373","https://www.autolina.ch/elektro-auto","68'400","8600","null","204","weiss"
"1669622809-1374","https://www.autolina.ch/elektro-auto","83'500","3714","null","204","sonstiges"
"1669622809-1375","https://www.autolina.ch/elektro-auto","83'500","3714","2022","204","schwarz"
"1669622809-1376","https://www.autolina.ch/elektro-auto","84'950","3714","null","204","sonstiges"
"1669622809-1377","https://www.autolina.ch/elektro-auto","84'950","3714","null","204","sonstiges"
"1669622809-1378","https://www.autolina.ch/elektro-auto","83'500","3714","null","204","schwarz"
"1669622809-1379","https://www.autolina.ch/elektro-auto","63'300","8754","2022","204","weiss"
"1669622809-1380","https://www.autolina.ch/elektro-auto","85'400","8754","2022","204","gelb"
"1669622809-1381","https://www.autolina.ch/elektro-auto","65'990","8610","null","265","weiss"
"1669622809-1382","https://www.autolina.ch/elektro-auto","34'680","6331","null","118","weiss"
"1669622809-1383","https://www.autolina.ch/elektro-auto","69'950","3714","2022","299","weiss"
"1669622809-1384","https://www.autolina.ch/elektro-auto","67'820","1213","null","299","sonstiges"
"1669622809-1385","https://www.autolina.ch/elektro-auto","37'800","5453","null","116","weiss"
"1669622809-1386","https://www.autolina.ch/elektro-auto","60'392","6330","2022","170","schwarz"
"1669622809-1387","https://www.autolina.ch/elektro-auto","53'990","8645","null","204","sonstiges"
"1669622809-1388","https://www.autolina.ch/elektro-auto","49'350","4133","2022","204","blau"
"1669622809-1389","https://www.autolina.ch/elektro-auto","54'190","8645","2022","204","sonstiges"
"1669622809-1390","https://www.autolina.ch/elektro-auto","57'100","3604","2022","204","schwarz"
"1669622809-1391","https://www.autolina.ch/elektro-auto","63'870","9230","null","204","weiss"
"1669622809-1392","https://www.autolina.ch/elektro-auto","65'510","2555","null","204","sonstiges"
"1669622809-1393","https://www.autolina.ch/elektro-auto","65'280","3604","null","204","schwarz"
"1669622809-1394","https://www.autolina.ch/elektro-auto","84'800","8032","null","204","sonstiges"
"1669622809-1395","https://www.autolina.ch/elektro-auto","66'500","6423","null","265","schwarz"
"1669622809-1396","https://www.autolina.ch/elektro-auto","60'900","4900","null","204","weiss"
"1669622809-1397","https://www.autolina.ch/elektro-auto","50'990","6204","2021","204","silber"
"1669622809-1398","https://www.autolina.ch/elektro-auto","61'900","5035","2022","514","schwarz"
"1669622809-1399","https://www.autolina.ch/elektro-auto","29'700","9245","2020","119","grün"
"1669622809-1400","https://www.autolina.ch/elektro-auto","32'900","6340","2020","170","blau"
"1669622809-1401","https://www.autolina.ch/elektro-auto","57'950","4665","null","204","schwarz"
"1669622809-1402","https://www.autolina.ch/elektro-auto","59'950","4665","null","299","schwarz"
"1669622809-1403","https://www.autolina.ch/elektro-auto","59'950","4665","null","299","silber"
"1669622809-1404","https://www.autolina.ch/elektro-auto","56'450","4665","null","299","anthrazit"
"1669622809-1405","https://www.autolina.ch/elektro-auto","56'450","4665","null","299","weiss"
"1669622809-1406","https://www.autolina.ch/elektro-auto","56'450","4665","2022","299","schwarz"
"1669622809-1407","https://www.autolina.ch/elektro-auto","56'450","4665","null","299","rot"
"1669622809-1408","https://www.autolina.ch/elektro-auto","57'950","4665","null","204","weiss"
"1669622809-1409","https://www.autolina.ch/elektro-auto","58'950","4665","null","204","schwarz"
"1669622809-1410","https://www.autolina.ch/elektro-auto","49'900","5417","2022","232","grau"
"1669622809-1411","https://www.autolina.ch/elektro-auto","84'800","5630","null","204","gelb"
"1669622809-1412","https://www.autolina.ch/elektro-auto","58'090","5630","null","204","schwarz"
"1669622809-1413","https://www.autolina.ch/elektro-auto","51'906","5630","null","204","schwarz"
"1669622809-1414","https://www.autolina.ch/elektro-auto","62'679","5630","null","204","weiss"
"1669622809-1415","https://www.autolina.ch/elektro-auto","59'800","8280","2021","190","silber"
"1669622809-1416","https://www.autolina.ch/elektro-auto","35'000","8500","null","136","weiss"
"1669622809-1417","https://www.autolina.ch/elektro-auto","62'679","5210","null","204","weiss"
"1669622809-1418","https://www.autolina.ch/elektro-auto","83'164","5210","null","204","silber"
"1669622809-1419","https://www.autolina.ch/elektro-auto","86'056","5210","null","204","gelb"
"1669622809-1420","https://www.autolina.ch/elektro-auto","48'690","3535","null","218","weiss"
"1669622809-1421","https://www.autolina.ch/elektro-auto","59'450","9242","2021","300","blau"
"1669622809-1422","https://www.autolina.ch/elektro-auto","73'440","9620","null","299","schwarz"
"1669622809-1423","https://www.autolina.ch/elektro-auto","38'870","4500","null","136","weiss"
"1669622809-1424","https://www.autolina.ch/elektro-auto","62'900","6330","null","299","sonstiges"
"1669622809-1425","https://www.autolina.ch/elektro-auto","36'000","4466","2022","136","schwarz"
"1669622809-1426","https://www.autolina.ch/elektro-auto","62'200","4466","2021","408","blau"
"1669622809-1427","https://www.autolina.ch/elektro-auto","68'290","8610","null","null","null"
"1669622809-1428","https://www.autolina.ch/elektro-auto","35'900","4663","null","136","blau"
"1669622809-1429","https://www.autolina.ch/elektro-auto","37'860","9001","null","122","weiss"
"1669622809-1430","https://www.autolina.ch/elektro-auto","63'245","8472","null","null","null"
"1669622809-1431","https://www.autolina.ch/elektro-auto","60'800","9536","null","217","grau"
"1669622809-1432","https://www.autolina.ch/elektro-auto","64'495","4402","null","242","grau"
"1669622809-1433","https://www.autolina.ch/elektro-auto","81'900","8610","null","204","sonstiges"
"1669622809-1434","https://www.autolina.ch/elektro-auto","62'600","8610","2022","204","weiss"
"1669622809-1435","https://www.autolina.ch/elektro-auto","99'000","5430","null","408","blau"
"1669622809-1436","https://www.autolina.ch/elektro-auto","25'000","5430","null","82","schwarz"
"1669622809-1437","https://www.autolina.ch/elektro-auto","27'000","5430","null","82","rot"
"1669622809-1438","https://www.autolina.ch/elektro-auto","25'400","5430","null","82","weiss"
"1669622809-1439","https://www.autolina.ch/elektro-auto","55'580","8645","2022","204","sonstiges"
"1669622809-1440","https://www.autolina.ch/elektro-auto","37'550","9542","null","136","schwarz"
"1669622809-1441","https://www.autolina.ch/elektro-auto","75'990","9542","null","300","grau"
"1669622809-1442","https://www.autolina.ch/elektro-auto","62'550","9542","null","265","weiss"
"1669622809-1443","https://www.autolina.ch/elektro-auto","32'890","9542","null","136","schwarz"
"1669622809-1444","https://www.autolina.ch/elektro-auto","53'550","9542","2022","204","silber"
"1669622809-1445","https://www.autolina.ch/elektro-auto","46'990","9542","null","180","grau"
"1669622809-1446","https://www.autolina.ch/elektro-auto","62'980","9542","null","300","weiss"
"1669622809-1447","https://www.autolina.ch/elektro-auto","39'550","9542","null","136","grau"
"1669622809-1448","https://www.autolina.ch/elektro-auto","45'490","9542","null","231","blau"
"1669622809-1449","https://www.autolina.ch/elektro-auto","44'660","9542","null","204","weiss"
"1669622809-1450","https://www.autolina.ch/elektro-auto","93'900","9542","2021","530","rot"
"1669622809-1451","https://www.autolina.ch/elektro-auto","50'900","8413","null","204","grau"
"1669622809-1452","https://www.autolina.ch/elektro-auto","37'990","5430","null","119","rot"
"1669622809-1453","https://www.autolina.ch/elektro-auto","93'000","8623","null","408","grau"
"1669622809-1454","https://www.autolina.ch/elektro-auto","83'900","8623","null","292","grau"
"1669622809-1455","https://www.autolina.ch/elektro-auto","55'990","4923","null","204","blau"
"1669622809-1456","https://www.autolina.ch/elektro-auto","56'900","4923","null","204","rot"
"1669622809-1457","https://www.autolina.ch/elektro-auto","56'900","4923","null","204","blau"
"1669622809-1458","https://www.autolina.ch/elektro-auto","61'640","8610","null","218","grau"
"1669622809-1459","https://www.autolina.ch/elektro-auto","62'800","8610","null","204","blau"
"1669622809-1460","https://www.autolina.ch/elektro-auto","34'900","1024","2022","217","schwarz"
"1669622809-1461","https://www.autolina.ch/elektro-auto","76'990","8406","2022","299","weiss"
"1669622809-1462","https://www.autolina.ch/elektro-auto","66'950","6010","2022","325","grau"
"1669622809-1463","https://www.autolina.ch/elektro-auto","44'600","5033","null","136","schwarz"
"1669622809-1464","https://www.autolina.ch/elektro-auto","43'200","5033","null","136","grau"
"1669622809-1465","https://www.autolina.ch/elektro-auto","51'010","5033","null","136","weiss"
"1669622809-1466","https://www.autolina.ch/elektro-auto","56'900","3000","null","180","sonstiges"
"1669622809-1467","https://www.autolina.ch/elektro-auto","59'900","3000","2022","204","blau"
"1669622809-1468","https://www.autolina.ch/elektro-auto","69'413","3252","null","408","blau"
"1669622809-1469","https://www.autolina.ch/elektro-auto","69'413","3252","null","408","schwarz"
"1669622809-1470","https://www.autolina.ch/elektro-auto","66'950","3252","2022","408","silber"
"1669622809-1471","https://www.autolina.ch/elektro-auto","66'950","3252","2022","408","schwarz"
"1669622809-1472","https://www.autolina.ch/elektro-auto","65'600","6021","null","408","grau"
"1669622809-1473","https://www.autolina.ch/elektro-auto","66'070","6021","null","408","weiss"
"1669622809-1474","https://www.autolina.ch/elektro-auto","66'490","6021","null","408","weiss"
"1669622809-1475","https://www.autolina.ch/elektro-auto","67'190","6021","null","408","weiss"
"1669622809-1476","https://www.autolina.ch/elektro-auto","67'190","6021","null","408","weiss"
"1669622809-1477","https://www.autolina.ch/elektro-auto","64'900","8008","2022","204","schwarz"
"1669622809-1478","https://www.autolina.ch/elektro-auto","64'800","5001","null","204","sonstiges"
"1669622809-1479","https://www.autolina.ch/elektro-auto","34'900","4663","null","136","weiss"
"1669622809-1480","https://www.autolina.ch/elektro-auto","26'999","8214","2017","136","grau"
"1669622809-1481","https://www.autolina.ch/elektro-auto","57'310","8645","null","204","sonstiges"
"1669622809-1482","https://www.autolina.ch/elektro-auto","52'990","8406","2021","204","blau"
"1669622809-1483","https://www.autolina.ch/elektro-auto","42'500","6340","2020","204","sonstiges"
"1669622809-1484","https://www.autolina.ch/elektro-auto","48'700","8600","2022","231","blau"
"1669622809-1485","https://www.autolina.ch/elektro-auto","39'200","5033","2022","136","weiss"
"1669622809-1486","https://www.autolina.ch/elektro-auto","73'190","6010","null","371","rot"
"1669622809-1487","https://www.autolina.ch/elektro-auto","44'600","8500","null","136","weiss"
"1669622809-1488","https://www.autolina.ch/elektro-auto","62'209","9000","null","184","weiss"
"1669622809-1489","https://www.autolina.ch/elektro-auto","82'500","8200","2022","204","sonstiges"
"1669622809-1490","https://www.autolina.ch/elektro-auto","184'500","9015","null","658","grau"
"1669622809-1491","https://www.autolina.ch/elektro-auto","61'640","4900","null","204","grau"
"1669622809-1492","https://www.autolina.ch/elektro-auto","69'450","4900","null","299","blau"
"1669622809-1493","https://www.autolina.ch/elektro-auto","22'900","3421","2020","83","anthrazit"
"1669622809-1494","https://www.autolina.ch/elektro-auto","62'900","9542","null","265","weiss"
"1669622809-1495","https://www.autolina.ch/elektro-auto","36'600","1723","2022","122","weiss"
"1669622809-1496","https://www.autolina.ch/elektro-auto","84'700","8302","null","204","schwarz"
"1669622809-1497","https://www.autolina.ch/elektro-auto","61'900","8302","null","160","grau"
"1669622809-1498","https://www.autolina.ch/elektro-auto","73'200","3018","null","228","blau"
"1669622809-1499","https://www.autolina.ch/elektro-auto","89'790","4053","2022","408","blau"
"1669622809-1500","https://www.autolina.ch/elektro-auto","65'990","4053","2022","204","schwarz"
"1669622809-1501","https://www.autolina.ch/elektro-auto","33'200","7000","2021","118","schwarz"
"1669622809-1502","https://www.autolina.ch/elektro-auto","59'888","8048","2021","313","schwarz"
"1669622809-1503","https://www.autolina.ch/elektro-auto","66'900","8406","null","204","sonstiges"
"1669622809-1504","https://www.autolina.ch/elektro-auto","81'890","8500","2022","204","sonstiges"
"1669622809-1505","https://www.autolina.ch/elektro-auto","82'444","8500","2022","204","sonstiges"
"1669622809-1506","https://www.autolina.ch/elektro-auto","81'890","8280","2022","204","sonstiges"
"1669622809-1507","https://www.autolina.ch/elektro-auto","83'555","8280","2022","204","sonstiges"
"1669622809-1508","https://www.autolina.ch/elektro-auto","82'444","8500","2022","204","sonstiges"
"1669622809-1509","https://www.autolina.ch/elektro-auto","82'444","8280","2022","204","sonstiges"
"1669622809-1510","https://www.autolina.ch/elektro-auto","62'910","2555","null","174","sonstiges"
"1669622809-1511","https://www.autolina.ch/elektro-auto","40'712","4104","null","122","weiss"
"1669622809-1512","https://www.autolina.ch/elektro-auto","49'790","8280","2021","204","sonstiges"
"1669622809-1513","https://www.autolina.ch/elektro-auto","34'680","4402","null","118","weiss"
"1669622809-1514","https://www.autolina.ch/elektro-auto","40'720","4414","2022","122","weiss"
"1669622809-1515","https://www.autolina.ch/elektro-auto","20'100","4414","2021","45","weiss"
"1669622809-1516","https://www.autolina.ch/elektro-auto","93'900","8280","2021","503","weiss"
"1669622809-1517","https://www.autolina.ch/elektro-auto","35'177","4053","null","122","weiss"
"1669622809-1518","https://www.autolina.ch/elektro-auto","35'177","4053","null","122","weiss"
"1669622809-1519","https://www.autolina.ch/elektro-auto","35'177","4053","null","122","weiss"
"1669622809-1520","https://www.autolina.ch/elektro-auto","35'177","4053","2022","122","weiss"
"1669622809-1521","https://www.autolina.ch/elektro-auto","48'400","4053","null","218","schwarz"
"1669622809-1522","https://www.autolina.ch/elektro-auto","59'990","8107","2022","204","weiss"
"1669622809-1523","https://www.autolina.ch/elektro-auto","33'900","8400","2020","146","weiss"
"1669622809-1524","https://www.autolina.ch/elektro-auto","56'160","8280","null","204","sonstiges"
"1669622809-1525","https://www.autolina.ch/elektro-auto","61'740","4132","null","299","sonstiges"
"1669622809-1526","https://www.autolina.ch/elektro-auto","35'200","9245","2021","218","grau"
"1669622809-1527","https://www.autolina.ch/elektro-auto","80'219","9000","null","601","schwarz"
"1669622809-1528","https://www.autolina.ch/elektro-auto","63'245","8472","null","null","null"
"1669622809-1529","https://www.autolina.ch/elektro-auto","63'099","8472","null","null","null"
"1669622809-1530","https://www.autolina.ch/elektro-auto","65'255","8472","null","null","null"
"1669622809-1531","https://www.autolina.ch/elektro-auto","61'750","3604","2019","313","grau"
"1669622809-1532","https://www.autolina.ch/elektro-auto","44'750","3604","2021","184","schwarz"
"1669622809-1533","https://www.autolina.ch/elektro-auto","26'990","8634","2019","109","blau"
"1669622809-1534","https://www.autolina.ch/elektro-auto","62'679","5001","null","204","weiss"
"1669622809-1535","https://www.autolina.ch/elektro-auto","84'801","5001","null","204","sonstiges"
"1669622809-1536","https://www.autolina.ch/elektro-auto","48'650","4132","2022","136","weiss"
"1669622809-1537","https://www.autolina.ch/elektro-auto","67'500","8634","null","204","schwarz"
"1669622809-1538","https://www.autolina.ch/elektro-auto","118'900","8634","null","476","schwarz"
"1669622809-1539","https://www.autolina.ch/elektro-auto","67'200","4322","null","325","weiss"
"1669622809-1540","https://www.autolina.ch/elektro-auto","69'700","4322","null","325","grau"
"1669622809-1541","https://www.autolina.ch/elektro-auto","74'900","1163","2020","408","grau"
"1669622809-1542","https://www.autolina.ch/elektro-auto","34'800","8500","2022","136","grau"
"1669622809-1543","https://www.autolina.ch/elektro-auto","35'700","6030","null","136","grau"
"1669622809-1544","https://www.autolina.ch/elektro-auto","34'990","6030","null","136","rot"
"1669622809-1545","https://www.autolina.ch/elektro-auto","41'990","6215","2022","204","sonstiges"
"1669622809-1546","https://www.autolina.ch/elektro-auto","85'591","8645","null","204","sonstiges"
"1669622809-1547","https://www.autolina.ch/elektro-auto","61'900","8406","2022","299","weiss"
"1669622809-1548","https://www.autolina.ch/elektro-auto","43'100","5001","null","204","sonstiges"
"1669622809-1549","https://www.autolina.ch/elektro-auto","39'865","8197","null","122","weiss"
"1669622809-1550","https://www.autolina.ch/elektro-auto","72'990","8184","null","371","orange"
"1669622809-1551","https://www.autolina.ch/elektro-auto","83'950","8184","null","601","blau"
"1669622809-1552","https://www.autolina.ch/elektro-auto","63'889","8184","null","184","weiss"
"1669622809-1553","https://www.autolina.ch/elektro-auto","31'580","1723","2021","184","schwarz"
"1669622809-1554","https://www.autolina.ch/elektro-auto","61'390","4900","null","204","schwarz"
"1669622809-1555","https://www.autolina.ch/elektro-auto","63'269","8600","2022","204","weiss"
"1669622809-1556","https://www.autolina.ch/elektro-auto","38'884","6014","null","136","weiss"
"1669622809-1557","https://www.autolina.ch/elektro-auto","82'499","8600","null","204","sonstiges"
"1669622809-1558","https://www.autolina.ch/elektro-auto","85'390","8600","null","204","sonstiges"
"1669622809-1559","https://www.autolina.ch/elektro-auto","86'590","8600","null","204","sonstiges"
"1669622809-1560","https://www.autolina.ch/elektro-auto","86'590","8600","null","204","sonstiges"
"1669622809-1561","https://www.autolina.ch/elektro-auto","85'390","8600","2022","204","sonstiges"
"1669622809-1562","https://www.autolina.ch/elektro-auto","82'499","8600","null","204","sonstiges"
"1669622809-1563","https://www.autolina.ch/elektro-auto","53'700","4528","2021","513","weiss"
"1669622809-1564","https://www.autolina.ch/elektro-auto","86'056","8708","2022","204","sonstiges"
"1669622809-1565","https://www.autolina.ch/elektro-auto","66'720","9014","null","408","sonstiges"
"1669622809-1566","https://www.autolina.ch/elektro-auto","40'400","2900","2022","122","weiss"
"1669622809-1567","https://www.autolina.ch/elektro-auto","6'800","2900","2012","16","weiss"
"1669622809-1568","https://www.autolina.ch/elektro-auto","81'800","1870","null","266","grau"
"1669622809-1569","https://www.autolina.ch/elektro-auto","54'990","4133","2021","299","sonstiges"
"1669622809-1570","https://www.autolina.ch/elektro-auto","59'700","8853","2022","204","weiss"
"1669622809-1571","https://www.autolina.ch/elektro-auto","84'800","3800","2022","204","sonstiges"
"1669622809-1572","https://www.autolina.ch/elektro-auto","63'820","5610","null","408","schwarz"
"1669622809-1573","https://www.autolina.ch/elektro-auto","56'900","5036","null","269","weiss"
"1669622809-1574","https://www.autolina.ch/elektro-auto","68'900","5036","null","371","blau"
"1669622809-1575","https://www.autolina.ch/elektro-auto","50'020","2300","null","136","sonstiges"
"1669622809-1576","https://www.autolina.ch/elektro-auto","37'480","1400","null","118","grau"
"1669622809-1577","https://www.autolina.ch/elektro-auto","39'900","1122","2020","204","türkis"
"1669622809-1578","https://www.autolina.ch/elektro-auto","35'900","6500","2022","136","grau"
"1669622809-1579","https://www.autolina.ch/elektro-auto","62'800","6208","2021","286","grau"
"1669622809-1580","https://www.autolina.ch/elektro-auto","62'650","1716","null","204","silber"
"1669622809-1581","https://www.autolina.ch/elektro-auto","62'750","1716","null","204","silber"
"1669622809-1582","https://www.autolina.ch/elektro-auto","62'460","1716","2022","204","weiss"
"1669622809-1583","https://www.autolina.ch/elektro-auto","61'990","1716","null","204","schwarz"
"1669622809-1584","https://www.autolina.ch/elektro-auto","73'190","9548","null","372","blau"
"1669622809-1585","https://www.autolina.ch/elektro-auto","23'900","3552","2017","170","grau"
"1669622809-1586","https://www.autolina.ch/elektro-auto","34'800","1950","2021","184","grün"
"1669622809-1587","https://www.autolina.ch/elektro-auto","10'000","1920","2012","109","weiss"
"1669622809-1588","https://www.autolina.ch/elektro-auto","44'000","1950","null","184","schwarz"
"1669622809-1589","https://www.autolina.ch/elektro-auto","36'500","3952","2022","136","gelb"
"1669622809-1590","https://www.autolina.ch/elektro-auto","40'500","3952","null","136","orange"
"1669622809-1591","https://www.autolina.ch/elektro-auto","37'500","5072","2022","122","weiss"
"1669622809-1592","https://www.autolina.ch/elektro-auto","83'900","6467","null","299","blau"
"1669622809-1593","https://www.autolina.ch/elektro-auto","60'800","6372","null","218","grau"
"1669622809-1594","https://www.autolina.ch/elektro-auto","79'900","1207","2022","204","weiss"
"1669622809-1595","https://www.autolina.ch/elektro-auto","46'900","3315","2022","218","anthrazit"
"1669622809-1596","https://www.autolina.ch/elektro-auto","72'500","1772","null","371","sonstiges"
"1669622809-1597","https://www.autolina.ch/elektro-auto","74'600","1772","null","371","sonstiges"
"1669622809-1598","https://www.autolina.ch/elektro-auto","65'300","1772","null","184","sonstiges"
"1669622809-1599","https://www.autolina.ch/elektro-auto","82'400","6414","2022","204","blau"
"1669622809-1600","https://www.autolina.ch/elektro-auto","34'928","6595","null","136","weiss"
"1669622809-1601","https://www.autolina.ch/elektro-auto","55'900","1032","2019","513","grau"
"1669622809-1602","https://www.autolina.ch/elektro-auto","57'990","1196","2022","371","grau"
"1669622809-1603","https://www.autolina.ch/elektro-auto","34'600","6438","2022","136","gelb"
"1669622809-1604","https://www.autolina.ch/elektro-auto","33'900","3172","2019","184","schwarz"
"1669622809-1605","https://www.autolina.ch/elektro-auto","36'800","9450","2022","136","weiss"
"1669622809-1606","https://www.autolina.ch/elektro-auto","56'200","1245","null","170","grau"
"1669622809-1607","https://www.autolina.ch/elektro-auto","58'900","1030","2022","269","weiss"
"1669622809-1608","https://www.autolina.ch/elektro-auto","38'300","1752","null","136","sonstiges"
"1669622809-1609","https://www.autolina.ch/elektro-auto","43'920","1752","null","136","sonstiges"
"1669622809-1610","https://www.autolina.ch/elektro-auto","31'900","1950","2022","119","anthrazit"
"1669622809-1611","https://www.autolina.ch/elektro-auto","42'900","1950","2022","204","anthrazit"
"1669622809-1612","https://www.autolina.ch/elektro-auto","70'600","3960","2022","371","grau"
"1669622809-1613","https://www.autolina.ch/elektro-auto","23'500","3204","2019","109","weiss"
